loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
20000,20000,19975, 60 months,0.1479,473.6,C,C4,The Matworks,3 years,MORTGAGE,66950,Verified,11-Jun,Charged Off,  Borrower added on 06/21/11 > I am planning on using the loan to pay off 2 high interest credit cards. I have asked them to lower my rate to no avail. I never miss a payment on these cards.<br/>,debt_consolidation,JB,212xx,MD,24.82,0,Jul-95,2,,,8,0,27240,74.20%,19,3338.88,3334.72,1645.1,1666.82,23.66170732,3.3,0,12-Feb,970.88,19-Mar
22400,22400,22375, 60 months,0.1299,509.56,C,C1,Monument Medical Consultants,2 years,MORTGAGE,52800,Verified,11-Jun,Charged Off,"  Borrower added on 06/20/11 > Well, Solar &amp; Wind Energy ",home_improvement,Well Loan,815xx,CO,2.7,0,Jan-99,3,,,7,0,1761,16.50%,13,8094.38,8085.56,574.78,5859.45,25.28224015,1634.87,145.9582,13-Oct,35.91,16-Oct
15000,15000,14725, 36 months,0.0749,466.53,A,A4,corrections corp of america,10+ years,MORTGAGE,45600,Verified,11-Jun,Charged Off,"  Borrower added on 06/21/11 > to pay debt off faster without the high interest rate<br/> Borrower added on 06/21/11 > always pay my debt on time some time early before they are due<br/> Borrower added on 06/21/11 > work for a company  that has opening all over<br/> Borrower added on 06/21/11 > my military pay cover all my debt , my  job is for daily  use<br/>",debt_consolidation,Debt Consolidation Loan,660xx,KS,4.66,0,2-Aug,0,,,6,0,4762,66.10%,9,14779.65,14508.66,12689.91,1748.96,0,340.78,3.1722,14-Feb,466.53,18-Oct
6575,6575,6575, 36 months,0.1349,223.1,C,C2,Great Dane Baking co,5 years,RENT,36000,Source Verified,11-Jun,Charged Off,,debt_consolidation,Debt consolidation,926xx,CA,18.47,0,Jun-90,1,,,7,0,20019,89.80%,14,2677.2,2677.2,1896.12,768.36,0,12.72,0,12-Jul,223.1,19-Mar
7000,7000,7000, 36 months,0.0999,225.84,B,B1,SHALIMAR JEWELERS,5 years,RENT,42614,Source Verified,11-Jun,Charged Off,  Borrower added on 06/21/11 > I thank all the members and investors for their assistance and lending.<br/>Regards!!<br/>,credit_card,AUTO,337xx,FL,1.8,0,7-Feb,1,,,10,0,1924,10%,15,5404.15,5404.15,4234.5,1011.39,0,158.26,1.581500002,13-Aug,126.13,16-Oct
18000,18000,18000, 60 months,0.2211,498.27,G,G1,JP Morgan Chase,4 years,RENT,81000,Not Verified,11-Jun,Charged Off,"  Borrower added on 06/20/11 > I have recently signed a new contract at work my end of year promotion. Along with my new secured position at work, I have signed a long term lease on an apartment. I plan on remaining in my current role and apartment for the entirety of my contract/lease.<br/><br/>I would like to use this loan to pay off three credit cards I used in college for tuition. By utilizing this loan to pay off my credit card debt, I will be able to save on my monthly payments and become debt free much quicker.<br/>",credit_card,Refi Loan,100xx,NY,18.25,0,3-Nov,0,,,11,0,16753,90.60%,24,19367.87,19367.87,8035,9902.72,0,1430.15,14.30149999,14-Sep,498.27,18-Dec
6000,6000,6000, 36 months,0.1349,203.59,C,C2,,n/a,RENT,27120,Source Verified,11-Jun,Charged Off,Need to pay Funeral expenses.....medical & Dental bills...<br>  Pay & close credit cards with high interest rates...<br>  I have 9 years perfect rental history...<br>,other,Personal,891xx,NV,10.4,0,Jan-00,1,,,7,0,5119,77.60%,9,862.18,862.18,411.06,196.8,0,254.32,2.43,11-Oct,203.59,16-Oct
12000,12000,11984.21094, 60 months,0.1099,260.85,B,B3,awnings of hollywood,10+ years,MORTGAGE,55000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/19/11 > we want to buy an rv for more economical vacations<br/> Borrower added on 06/20/11 > I have been at the same job for 13 years living in the same house.Iam and have always been current on my acounts.I have had car and boat loans in the past and have completed them all without so much as a late fee.About half of them were completed early<br/> Borrower added on 06/28/11 > My neighbor down the street has an rv worth about $42000.He says if I pay off the balance,of which he owes $12000, and fix his awning on his house,whitch I am an awning manufacture, then we have a deal.It is an excellent opportunity.They are getting old now and his wife would rather stay close to home.They took excellent care of it and it is virtually like new.<br/> Borrower added on 06/29/11 > My neighbor has an rv he owes $12000 on.Its worth about 40000.If I pay it off and replace his awning out back,he says we have a deal.Im an awning man by trade so this is a great opportunity for me.<br/>",major_purchase,rv loan,333xx,FL,7.24,0,Jun-92,0,,,6,0,15468,77.30%,16,9006.52,8979.36,5371.48,2697.51,0,937.53,9.201699998,14-Feb,260.85,18-Jul
16000,16000,16000, 60 months,0.1199,355.84,B,B5,City of Zeigler,10+ years,RENT,32000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/19/11 > I am needing to refinance a loan I received from another loan company plus some unexpected medical bills<br/><br/>I owe prosper $15000 and the medical bills are just over $2000.00 I really do not want to use a credit card to pay for the bills as this would put me right back in debt again plus this loan is offering me a much better rate than prosper. You can invest your money with confidence as I have a secure job. And I recently payed off a lending club loan.<br/> Borrower added on 06/19/11 > I would like to refinance my prosper loan of $15,000 and a few unexpected medical bills of $2000. I really don't want to use a credit card because it will put me right back into the shape that I was before. I would like to add that I have a secure job and you can invest your money with confidence. Lending club is also offering me a better rate than prosper so why not switch thank to all who can help any questions just ask.<br/>",debt_consolidation,Debt Reconsolidation,628xx,IL,19.13,0,May-99,1,,,9,0,1904,9%,21,10355.25,10355.25,5523.3,3354.95,0,1477,20.85250001,13-Aug,355.84,18-Mar
5900,5900,5900, 36 months,0.0749,183.5,A,A4,Liquid Gold Well Service,3 years,MORTGAGE,78644,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/22/11 > I am requesting a loan for a motorcycle as a gift to myself for retiring from the US Marine Corps. Please help my dream come true.<br/> Borrower added on 06/22/11 > With gas prices climbing the way they are, I am looking for a vehicle that will save me some money in the long run each month. I work in the oil industry and see no relief in the near future.<br/> Borrower added on 06/24/11 > Looking good guys. You won't regret helping me out!<br/> Borrower added on 06/27/11 > Thank you to those who have invested so far. Please continue to invest so I may ride again. I was hurt in 2007 and told I would never be able to ride again, but I have been told to go ahead! Hope we can make it happen.<br/>",car,Chopper,594xx,MT,27.5,2,Jun-91,1,19,,9,0,5883,24.90%,37,6447.67,6447.67,5707.85,703.49,0,36.33,0.251699999,14-Jun,183.5,18-Nov
14000,14000,13867.06988, 60 months,0.1349,322.07,C,C2,Diocese of Buffalo,10+ years,MORTGAGE,55000,Source Verified,11-Jun,Charged Off,,home_improvement,House Improvement Loan,140xx,NY,11.74,0,Jan-97,0,,,14,0,19639,74.70%,33,18569.35,18327.85,13040.96,5293.16,0,235.23,42.34140001,16-Apr,322.07,16-Oct
6500,6500,6500, 60 months,0.1649,159.77,D,D3,Raytheon,7 years,MORTGAGE,160000,Verified,11-Jun,Charged Off,,car,motorcycle,017xx,MA,14.97,0,Aug-79,0,,,19,0,147365,71.40%,33,7916.01,7916.01,4598.02,2888.85,0,429.14,77.2452,15-Jun,159.77,16-Oct
5000,5000,5000, 36 months,0.1479,172.82,C,C4,paccar parts,6 years,RENT,41000,Not Verified,11-Jun,Charged Off,,debt_consolidation,debt loan,980xx,WA,8.34,0,Mar-93,2,,,7,0,6396,89.40%,12,1282.41,1282.41,685.96,347.78,0,248.67,44.1882,12-Jan,172.82,16-Oct
16000,16000,15975, 60 months,0.1749,401.87,D,D5,k&s tool and manufacturing co.,5 years,MORTGAGE,57000,Not Verified,11-Jun,Charged Off,  Borrower added on 06/22/11 > this loan will allow me to convert 8 high intrest revolving accts. into one payment at a fixed rate.<br/><br/>I have a good credit rating and I will continue to pay all my bills on time.<br/><br/>My job is going great. I am with a growing company that has a lot of oppertunity for me.<br/>,debt_consolidation,debt loan,273xx,NC,11.96,0,Jul-97,1,,,5,0,6168,88.10%,15,10334.69,10318.68,4788.74,4855.83,0,690.12,6.898100008,13-Aug,32.64,18-Aug
25000,25000,24975, 60 months,0.1599,607.82,D,D2,NORTHWEST SURGERY CENTER,3 years,MORTGAGE,60000,Verified,11-Jun,Charged Off,"  Borrower added on 06/28/11 > Been in the same field for 8 yrs and have a very stable job,  What makes me a good borrower is I have an excellent payment history for paying  my bills on time over the past 20 years.<br/>",debt_consolidation,Debt Consolidation,786xx,TX,19.16,0,1-Feb,1,,,12,0,24572,33.40%,29,18711.15,18692.62,8837.9,7572.06,0,2301.19,23.0001,13-Nov,36.42,16-Oct
20000,20000,20000, 60 months,0.2062,536.81,F,F2,DWT Shrek Tour One,2 years,RENT,115000,Verified,11-Jun,Charged Off,  Borrower added on 06/18/11 > thanks you.<br/>,debt_consolidation,Credit Card,025xx,MA,7.25,0,Dec-99,0,64,,5,0,20507,97.70%,14,29488.64,29488.64,16866.46,12094.08,53.68,474.42,83.7216,16-Mar,1109.4,16-Oct
3250,3250,3250, 60 months,0.1199,72.28,B,B5,sarah tuxis,3 years,MORTGAGE,48000,Verified,11-Jun,Charged Off,,car,buissness,064xx,CT,13.2,0,4-Apr,0,,63,8,1,2670,38.70%,13,2882.19,2882.19,1763.08,898.26,0,220.85,2.078300002,14-Aug,72.28,16-Oct
12000,12000,12000, 60 months,0.1349,276.06,C,C2,NCO Financial,6 years,RENT,39000,Not Verified,11-Jun,Charged Off,"  Borrower added on 06/18/11 > To be able to pay off some of my higher intrest rate credit card debt<br/>with a lower intrest rate<br/> Borrower added on 06/20/11 > I have a stable job and pay my bills on time, I just need to be able to pay off some of my higher interest rate credit cards, with the lower rate that the Lending Club offers.<br/> Borrower added on 06/21/11 > I just need, someone to take a chance with me, and I will not let you down.<br/>",debt_consolidation,Debt consolidation,913xx,CA,20.46,0,Nov-71,0,,,8,0,20888,73.30%,20,4739.06,4739.06,1798.3,1506.38,0,1434.38,256.7412,12-Jul,276.06,16-Oct
14300,14300,14300, 60 months,0.2136,389.77,F,F4,Ann Inc,4 years,RENT,41766.4,Verified,11-Jun,Charged Off,,debt_consolidation,Debt consolidation,103xx,NY,17.93,0,May-00,1,,,7,0,10200,99%,21,5726.63,5726.63,1651.65,3346.59,0,728.39,6.92,12-Sep,437.01,16-Oct
7425,7425,7425, 36 months,0.0999,239.55,B,B1,,10+ years,OWN,71884,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/22/11 > One of my balance is Carecredit, which is for dental and is 0% interest. American Express is for business and sometimes the balance can get large but it is paid off every month, so it does not carry a balance. And the Capital one is used as a gas card and is a $700 limit.<br/>",other,business,959xx,CA,20.2,0,Feb-84,0,,,7,0,10346,65.50%,13,4313.48,4313.48,3222.75,838.72,0,252.01,2.59,12-Dec,239.55,16-Oct
5000,5000,5000, 36 months,0.1199,166.05,B,B5,,n/a,MORTGAGE,50000,Verified,11-Jun,Charged Off,  Borrower added on 06/17/11 > I need this loan for a personal matter. I do plan on paying this loan back as soon as my personal matter is resolved which would make me more financially stable. Thank you for everything in regards to the loan process.<br/>,other,Lawyer,894xx,NV,11.59,0,Mar-97,0,,,7,0,16513,82.60%,18,2988.9,2988.9,2274.91,713.1,0,0.89,0,13-Jan,166.05,12-Dec
6000,6000,6000, 36 months,0.1299,202.14,C,C1,UPS,9 years,MORTGAGE,50400,Source Verified,11-Jun,Charged Off,  Borrower added on 06/20/11 > The loan will be for debt consolidation on credit cards and home upgrades/remodeling.<br/>,debt_consolidation,Debt and Home Improvement,402xx,KY,13.86,0,Nov-00,1,52,58,8,1,3879,51.70%,18,5345,5345,3903.69,1138.23,0,303.08,6.194999998,13-Aug,202.14,18-Dec
22750,22750,19849.9967, 60 months,0.1299,517.52,C,C1,brown toyota,7 years,MORTGAGE,34000,Verified,11-Jun,Charged Off,  Borrower added on 06/17/11 > thank you very much for allowing me to consolidate my bills. will there be a loan payment book i will recieve in the mail?<br/> Borrower added on 06/17/11 > thank you<br/> Borrower added on 06/17/11 > always paid on time my job is very stable and for me to have one payment is better than having two or three. i feel comfortable with the payment if i can do it for 66 months that will be great. thank you for your time and effort to help me to consolidate.<br/>,debt_consolidation,consolidation,229xx,VA,21.56,0,Nov-89,1,,,11,0,34683,55.50%,37,517.52,451.36,270.38,245.47,0,1.67,0,11-Aug,517.52,19-Mar
13000,13000,13000, 36 months,0.1059,423.09,B,B2,Infor Global Solutions,7 years,RENT,67000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/21/11 > I plan on paying off a Personal Loan, 2 Chase Credit Cards that have a balances, I have 4 Chase Credit Cards but only 2 have balances. Lastly, will pay down my car loan, so that what I owe and what the car is worth equal the same, so I can sell it and close out that note with Chase.<br/> Borrower added on 06/21/11 > Loan distribution breakdown:<br/><br/>$7,800.00      Personal loan w/ 31% interest rate.<br/>$1,700.00      Chase Visa w/ 17.24% interest rate.<br/>$700.00         Chase  Mastercard w/ 20.24% interest rate.<br/>$2,200.00      Will go to my to pay down my car loan so I can sell it and  pay the bank, thereby eliminating my car payment.<br/>",debt_consolidation,All payments in 1 location loan,926xx,CA,14.99,0,Nov-00,2,,,7,0,2311,15.20%,13,5077.08,5077.08,3879.22,1189.82,0,8.04,0,12-Jul,423.09,19-Mar
8000,8000,8000, 36 months,0.0749,248.82,A,A4,r&r sheetmetal,10+ years,MORTGAGE,87000,Not Verified,11-Jun,Charged Off,,other,Other Loan,923xx,CA,13.03,0,Feb-98,0,,,9,0,43150,69.90%,29,5313.78,5313.78,4412.28,410.82,0,490.68,87.4224,12-Jun,3584,18-Aug
5500,5500,5500, 36 months,0.1349,186.62,C,C2,"Mindel Management, Inc.",3 years,RENT,57000,Verified,11-Jun,Charged Off,"  Borrower added on 06/17/11 > This loan is for debt consolidation and a much needed vacation, it has been years.  I find the ease of use and the quick payback time (3 years) very reassuring.  There is something about knowing that you will be paying off something forever.  Lending Club is just what I need.<br/>",debt_consolidation,Debt Consilidation & Vacation,200xx,DC,10.56,0,Apr-00,0,,97,7,1,14831,63.70%,15,4105.64,4105.64,3078.18,1005.02,0,22.44,0,13-May,186.62,19-Mar
4200,4200,4200, 60 months,0.1839,107.55,E,E2,ap management,< 1 year,RENT,24996,Not Verified,11-Jun,Charged Off,  Borrower added on 06/16/11 > Move in money<br/>,major_purchase,Deposit,331xx,FL,17.81,0,May-00,0,28,,4,0,437,61.70%,15,5194.73,5194.73,2853.97,2092.4,0,248.36,44.5374,15-May,107.55,16-Oct
10000,10000,10000, 36 months,0.1839,363.49,E,E2,CVS Pharmacy,9 years,RENT,22000,Not Verified,11-Jun,Charged Off,,debt_consolidation,Debt Consolidation Loan,334xx,FL,2.18,1,1-Mar,3,22,,3,0,1107,79.10%,10,1816.79,1816.79,421.85,482.35,18.06237769,894.53,223.1976,11-Dec,200,16-Oct
20000,20000,19888.93819, 60 months,0.1689,495.87,D,D4,BNP Paribas,10+ years,MORTGAGE,225000,Not Verified,11-Jun,Charged Off,  Borrower added on 06/02/11 > PAY OFF CREDIT CARDS<br/>Borrower added on 06/02/11 > PAY OFF CREDIT CARDS<br/>,other,pay off high interest credt cards,945xx,CA,10.99,0,Oct-88,2,37,,15,0,15811,57.40%,32,22669.94,22435.72,12518.42,8746.64,0,1404.88,252.8784,15-Feb,495.87,16-Oct
15000,15000,15000, 36 months,0.0999,483.94,B,B1,Gretna Police Dept.,4 years,RENT,65000,Not Verified,11-Jun,Charged Off,,credit_card,Credit Card Debt,700xx,LA,18.09,0,Jul-95,0,,,11,0,18121,43.20%,24,11944.41,11944.41,9445.05,2168.57,0,330.79,3.2985,13-Jul,484.18,16-Oct
12000,12000,12000, 60 months,0.1749,301.41,D,D5,DaVita,10+ years,MORTGAGE,80000,Source Verified,11-Jun,Charged Off,  Borrower added on 06/17/11 > Bill <br/>Consolidation<br/>Loan<br/> Borrower added on 06/21/11 > mortgage- $1200<br/>monthly utilities- 500<br/>gass and food-300<br/>,debt_consolidation,Debt Consolidation Loan,173xx,PA,5.22,0,Oct-00,1,,,19,0,8029,26.60%,34,10885.66,10885.66,5282.08,4664.45,0,939.13,9.391299995,14-May,61.34,16-Oct
23275,17500,17475, 60 months,0.1799,444.29,E,E1,,n/a,MORTGAGE,82000,Verified,11-Jun,Charged Off,,vacation,Vacation Loan,334xx,FL,24.82,0,Feb-68,0,67,,10,0,28018,65.60%,21,17327.31,17302.66,9532.39,7767.64,0,27.28,0,14-Oct,444.29,14-Oct
35000,23275,23250, 60 months,0.2025,619.89,F,F1,NYC Health and Hospital Corporation,2 years,RENT,88000,Verified,11-Jun,Charged Off,"  Borrower added on 06/16/11 > Loan consolidation-pay off car loan and personal loan<br/> Borrower added on 06/17/11 > I plan using this debt consolidation loan to pay off my<br/>unsecured debt and invest the difference.<br/> Borrower added on 06/17/11 > I answered 2 questions by an investor<br/> Borrower added on 06/20/11 > I work full-time in a stable career position. My credit history reflects that I have paid off all past loans to a 0 balance and pay my bills on time.<br/> Borrower added on 06/22/11 > I have job security and want to improve my financial profile so I want to consolidate my bills.<br/> Borrower added on 06/28/11 > I am a professional with a secure career position who wants to pay off<br/>my bills so that I can become an investor.<br/> Borrower added on 06/29/11 > I am a responsible person who has improved my credit through credit monitoring, making my payments on time and paying off my loans.<br/>",debt_consolidation,Debt Consolidation Loan,113xx,NY,11.71,0,4-Mar,0,49,,8,0,11554,62.60%,16,14806.44,14790.71,4044.86,6814.91,30.89001719,3915.78,689.1786,13-Dec,470.24,16-Oct
10050,10050,10050, 60 months,0.1689,249.18,D,D4,United Sates Army,7 years,RENT,25000,Source Verified,11-Jun,Charged Off,,small_business,Small Business Loan,313xx,GA,16.03,3,4-Jun,0,5,,7,0,1118,18.90%,14,4271.28,4271.28,1646.99,1826.27,0,798.02,61.21,12-Sep,249.18,16-Oct
9000,9000,9000, 36 months,0.1149,296.75,B,B4,Atlanta Public Schools,6 years,MORTGAGE,141000,Verified,11-Jun,Charged Off,"  Borrower added on 06/16/11 > I have been employed in the same job for six years and have signed a contract for another year of service. I have spent 6,000 of my personal funds to cover wedding expenses, but I underestimated some of the costs when planning. I  want to pay all vendors their balances without raiding my retirement funds.<br/>",wedding,Wedding Loan,302xx,GA,13.4,0,Dec-90,0,30,,13,0,4840,55%,43,4208.48,4208.48,2890.04,953.93,0,364.51,3.59,12-Aug,296.75,16-Oct
35000,23625,23600, 60 months,0.1879,610.12,E,E3,U.S. Department of Energy,10+ years,MORTGAGE,157124,Verified,11-Jun,Charged Off,,home_improvement,Home Improvement ,207xx,MD,3.19,2,May-85,0,16,,9,0,12501,66.90%,30,18137.49,18118.42,7624.21,8216.03,0,2297.25,30.6537,13-Sep,610.12,16-Oct
2800,2800,2800, 36 months,0.1479,96.78,C,C4,,n/a,OWN,17760,Not Verified,11-Jun,Charged Off,  Borrower added on 06/15/11 > I AM BUYING A GULF KART<br/>,major_purchase,GULF KART LOAN,342xx,FL,18.04,0,6-Aug,1,,103,8,1,7515,75.90%,10,2129.16,2129.16,1557.2,564.48,0,7.48,0,13-May,96.78,19-Mar
25000,19625,19625, 60 months,0.2062,526.74,F,F2,Wal-Mart,8 years,RENT,72000,Verified,11-Jun,Charged Off,,debt_consolidation,Debt Consolidation,447xx,OH,22.83,0,2-Aug,2,,,13,0,18042,60.50%,31,19008.76,19008.76,5010.92,6775.42,0,7222.42,1300.9534,13-Nov,210.12,18-Aug
12000,12000,12000, 60 months,0.1349,276.06,C,C2,Gordon Properties,7 years,RENT,26400,Not Verified,11-Jun,Charged Off,  Borrower added on 06/15/11 > I would just like to put all my debt into one place so that they are easier to manage and with a loan vs credit cards-it is sure to be paid off quicker.<br/>,credit_card,Peace,934xx,CA,17.18,0,1-Feb,1,,,11,0,17099,64.80%,21,3036.66,3036.66,1636.8,1388.31,0,11.55,0,12-Jun,276.06,19-Mar
25975,17000,16950, 60 months,0.1349,391.08,C,C2,University of West Florida,10+ years,MORTGAGE,112000,Verified,11-Jun,Charged Off,"  Borrower added on 06/15/11 > Need bridge loan until I can access my 403b in June 2012.<br/> Borrower added on 06/24/11 > My house sold for less than mortgage due to the current market and this loan will fund the deficit of that transaction.<br/>I did not want to damage my credit through a short sale or a deed in lieu of so I am satisfied to take the loss and pay the difference in order to keep my credit in good standing for the future.<br/>My monthly obligations for housing will go from  $3500 per month to  $1200 per month as a result of this sale leaving me ample room to pay off the difference.<br/>I have been employed by the same entity for the past ten years and plan to be there another 5 years until I retire.<br/>The terms of this loan would allow me to pay off my debt to coincide with my retirement goal.<br/>As a safety net, I also have sufficient funds in my 403b retirement account to cover the balance of this loan that I can access in June 2012 if need be although my goal is to pay off this loan without the 403b assist.<br/>Thanks so much for your consideration.<br/>",moving,Selling House Moving Loan,365xx,AL,18.43,0,Aug-96,1,,,18,0,11085,12.90%,43,2346.48,2339.57,1231.38,1110,0,5.1,0,12-Jan,391.08,19-Mar
3000,3000,3000, 36 months,0.1199,99.63,B,B5,pa department of corrections,10+ years,MORTGAGE,66000,Not Verified,11-Jun,Charged Off,,debt_consolidation,debt consolidation,187xx,PA,14.27,0,Dec-97,2,75,103,10,1,16350,72.30%,30,543.99,543.99,226.12,148.88,15,153.99,27.7182,11-Nov,156,16-Oct
8000,8000,8000, 36 months,0.1349,271.45,C,C2,Monster Worldwide,5 years,MORTGAGE,52000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/20/11 > With this loan I will be paying off high intrest credit cards, it would be very helpful to have 1 low payment instead of multiple high intrest payments that do not seem to be getting any lower.<br/>",debt_consolidation,Consolidation,014xx,MA,18.25,1,Aug-78,0,23,,12,0,14434,67.40%,28,8123.37,8123.37,6171.33,1699.42,0,252.62,2.5132,14-Jan,40.95,18-Apr
17600,17600,17550, 60 months,0.1399,409.43,C,C3,VERIZON WIRELESS,10+ years,MORTGAGE,95000,Verified,11-Jun,Charged Off,,debt_consolidation,Debt Consolidation Loan,072xx,NJ,8.07,0,Jun-95,3,,,11,0,3858,14.80%,17,22204.65,22141.57,15221.95,6854.28,0,128.42,23.1156,16-Jan,409.43,18-Jul
15000,15000,15000, 36 months,0.0999,483.94,B,B1,West Marine Inc.,2 years,RENT,100000,Not Verified,11-Jun,Charged Off,"  Borrower added on 06/14/11 > My first loan with LendingClub has worked out well, so I decided to use LendingClub to consolidate all other debt into a 36-month payoff.<br/>",debt_consolidation,36 months @ 12.82% APR,950xx,CA,9.13,0,Jun-00,0,,,7,0,8694,68.50%,12,6707.32,6707.32,4554.49,1551.51,0,601.32,6,12-Oct,101.19,16-Oct
21000,16075,16075, 60 months,0.1839,411.62,E,E2,Beachmint Inc,< 1 year,MORTGAGE,120000,Verified,11-Jun,Charged Off,,debt_consolidation,Consolidation Loan,904xx,CA,15.31,0,2-Mar,0,,,7,0,23377,90.30%,23,21215.77,21215.77,4750.02,5127.18,0,11338.57,0,13-Jul,411.62,17-Jun
5000,5000,5000, 60 months,0.1149,109.94,B,B4,Nassau University Medical Center,6 years,OWN,43800,Source Verified,11-Jun,Charged Off,  Borrower added on 06/14/11 > Jeep<br/> Borrower added on 06/14/11 > Jeep<br/> Borrower added on 06/16/11 > I'am trying to help my daughter out. She needs a running car to get to work. I'am a responsible person and will pay this loan quick as I can. I been working in the medical field for over 20 years and still going. I pay all my bills on time and all are in good standing.<br/>,car,Car Loan,113xx,NY,19.62,0,4-Jan,0,,,12,0,7537,42.80%,16,5716.88,5716.88,4134.88,1547.27,0,34.73,6.2514,15-Nov,109.94,18-Jan
4500,4500,4500, 36 months,0.1059,146.46,B,B2,Alliance Audio Visual,1 year,MORTGAGE,42000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/14/11 > Buying a sole owner vehicle which has been well maintained not looking to get a new car loan at the moment.  Just something reliable and I have found the vehicle, thanks and have a wonderful day!<br/>",car,Mazda 3,871xx,NM,10.91,0,Jul-75,2,,,8,0,7417,81.50%,12,3193.47,3193.47,2445.51,623.22,0,124.74,1.31,13-Apr,146.46,16-Oct
35000,35000,34725, 36 months,0.1349,1187.57,C,C2,NJ Department of Corrections Southern St,10+ years,MORTGAGE,120000,Verified,11-Jun,Charged Off,"  Borrower added on 06/18/11 > I have been at same secure job for almost 14 years.  I have v good credit and never missed or late with ANY payments! This loan will be used to pay off all my credit cards so will not increase my debt to income, it will help me eliminate my debt in 3 years. Thanks<br/>",credit_card,Credit Card Loan,083xx,NJ,16.34,0,Jan-91,0,,,8,0,44287,77.30%,29,36583.93,36296.03,28085.09,7540.52,0,958.32,9.569499987,14-Feb,100.94,16-Oct
7000,7000,7000, 36 months,0.1149,230.8,B,B4,Clark County Schools District,10+ years,MORTGAGE,69600,Not Verified,11-Jun,Charged Off,"  Borrower added on 06/14/11 > loan approval very fast, thank you appreciate the great rate! Loan approval for small investment and to eliminate small debt.<br/> Borrower added on 06/14/11 > not has been supplied<br/> Borrower added on 06/14/11 > done<br/>",small_business,Income Fund,891xx,NV,8.09,0,Nov-97,0,,,8,0,1200,16.90%,24,230.8,230.8,163.21,66.79,0,0.8,0,11-Aug,230.8,19-Mar
9950,9950,9950, 36 months,0.1299,335.21,C,C1,DUBELL LUMBER CO.,7 years,RENT,30784,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/14/11 > I have a steady job with a great company.   My bills are paid on time and promise this loan will be paid on time every month and until it is paid in full.<br/> Borrower added on 06/14/11 > This loan is to consolidate my credit cards bills into one monthly payment,  so they will be paid in full and no longer used.<br/>",debt_consolidation,OUT OF DEBT,082xx,NJ,24.32,0,Mar-00,0,52,,9,0,8647,88.20%,15,4427.98,4427.98,2893.29,1121.91,0,412.78,3.98,12-Jul,335.21,16-Oct
8050,8050,8050, 60 months,0.1523,192.49,C,C5,,2 years,MORTGAGE,36500,Verified,11-Jun,Charged Off,"  Borrower added on 06/17/11 > Please note, per LC my TUCIC score is 711<br/> Borrower added on 06/21/11 > to those of you that have helped, THANKS!<br/>to those of you thinking...PLEASE<br/>I need $750/day for the next week! (6/21/11)  Thanks!<br/>",debt_consolidation,Final Wrap Up,631xx,MO,19.82,0,Feb-84,1,32,112,16,1,8653,42.10%,31,9203.37,9203.37,5570.42,3144.71,0,488.24,87.88320001,15-Mar,211.99,16-Oct
12000,12000,12000, 60 months,0.1879,309.91,E,E3,Allied Home Mortgage Corporation,9 years,MORTGAGE,72000,Source Verified,11-Jun,Charged Off,"  Borrower added on 06/13/11 > The utilization of these funds will eliminate the balance of two high interest credit cards, one used for medical emergency the other home improvements. The $389 a month being saved will be applied to a savings account, diminishing any consideration for use of said cards in the future.<br/>",debt_consolidation,Consolidation -reduce payments $ 389,773xx,TX,12.33,0,6-Nov,1,,,6,0,12015,51.80%,7,5229.15,5229.15,1897.54,2749.9,0,581.71,5.34,12-Nov,329.04,16-Oct
2000,2000,2000, 36 months,0.1839,72.7,E,E2,MD State Highway Administration,10+ years,MORTGAGE,72000,Not Verified,11-Jun,Charged Off,,other,Auto Repair Loan,216xx,MD,15.62,0,Dec-98,0,66,37,6,1,4766,99.30%,14,710.21,710.21,401.34,251.07,0,57.8,0.57,12-Apr,72.7,16-Oct
15000,15000,15000, 60 months,0.1399,348.95,C,C3,Gelber Group,< 1 year,MORTGAGE,75000,Not Verified,11-Jun,Charged Off,"  Borrower added on 06/13/11 > Looking to Consolidate my two credit cards of 7500 each.  Stable income, Ivy League Degree.  Looking to be Debt Free with a fixed payment.<br/>",debt_consolidation,Debt Consolidation,334xx,FL,15.95,0,Dec-99,3,,,11,0,20934,44.60%,35,8626.06,8626.06,4553.13,3457.77,0,615.16,6,13-May,348.95,16-Oct
